	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_73_7.txt	73	7	12.32896	14.24079	12.68266	12.72096	12.29141	13.02828	14.33172	12.30531	12.99805	12.22089	11.34049	10.77561	13.20471	12.11661	12.30001	12.00151	12.83693	12.69273	12.47601	14.23039	13.53032	12.82641	13.54385	12.71796	12.80543	12.63684	10.42806	12.75083	12.12618	14.11258
alpha_rarefaction_73_8.txt	73	8	11.52458	12.21784	12.67179	13.89963	12.29318	11.35962	12.50649	12.23562	12.69762	12.60157	13.51289	12.17903	13.77288	12.98002	12.55496	12.98331	12.19938	12.9498	12.252	13.7551	11.87779	12.03223	13.1242	12.65828	13.55435	13.66689	14.00563	13.73008	12.47276	12.89953
alpha_rarefaction_73_9.txt	73	9	12.86971	14.33304	12.34393	14.75837	11.88844	13.56337	13.42395	11.90005	12.0571	10.77116	12.70327	11.37115	12.58319	12.1532	10.8952	12.08113	12.48364	13.6049	14.41944	12.73729	13.01699	10.99638	13.80803	13.32941	14.36361	12.44917	13.53606	12.05919	13.12009	12.74415
alpha_rarefaction_136_0.txt	136	0	16.40699	20.45235	18.54499	19.64717	17.26092	19.01086	18.22054	18.59255	17.3638	16.04489	17.08065	17.04057	18.74442	16.87544	17.3867	18.15653	17.264	18.59699	19.6047	20.28138	18.34044	17.43008	19.70282	17.76101	18.05189	20.5413	19.26354	17.80985	20.40648	17.73775
alpha_rarefaction_136_1.txt	136	1	19.92306	17.6832	17.45795	19.09422	16.41248	17.9934	18.2682	18.50139	16.93283	17.63643	19.11671	16.88263	19.05866	18.91871	18.48808	18.45216	16.874	16.92597	18.95964	19.2592	19.13545	19.78172	19.13382	17.89599	19.60425	17.68852	16.4834	16.16279	19.4912	19.05671
alpha_rarefaction_136_2.txt	136	2	18.7136	17.8809	17.52367	19.90326	15.72985	20.85138	20.35173	18.12817	19.50913	15.85716	19.535	17.00656	17.23144	20.09878	18.80292	18.83012	17.81278	18.30928	19.46654	21.46816	18.22795	17.6151	19.20339	18.56341	18.8323	19.13897	17.4499	19.7426	20.56201	19.86636
alpha_rarefaction_136_3.txt	136	3	17.94409	20.75284	18.5614	19.78439	16.94556	18.37208	18.71364	16.79566	19.3934	16.20973	18.12201	17.64594	18.44585	18.4672	18.42276	18.24848	21.98493	19.01834	19.28301	20.23065	20.2289	17.93562	20.00137	18.07687	17.82806	18.28284	17.16197	16.01602	19.20624	18.77488
alpha_rarefaction_136_4.txt	136	4	19.39189	18.36423	17.33523	19.85973	17.9882	17.8732	19.36131	18.04475	17.68303	15.19669	20.15728	15.8883	18.63767	21.21145	18.97677	19.13374	19.17768	18.46263	19.32982	20.47538	19.30597	18.8176	18.6977	18.48908	17.234	19.42012	15.78447	17.72241	21.03072	19.32649
alpha_rarefaction_136_5.txt	136	5	18.63629	18.32835	17.99139	18.29892	18.52788	20.5492	18.9995	17.70135	17.90143	15.71809	20.04908	17.61542	18.04147	17.80855	18.40208	18.02757	18.88892	17.18901	18.31357	19.59601	17.2854	15.84688	19.54013	18.61905	18.43468	20.12125	17.9046	18.79314	17.15158	19.68366
alpha_rarefaction_136_6.txt	136	6	19.84924	19.67417	17.49433	17.96505	17.51203	16.62641	20.21719	17.0469	17.25748	14.21422	18.02348	17.58321	18.31419	19.12459	18.85453	17.75923	17.10748	18.16964	18.39262	19.90882	19.3178	18.09833	19.32754	17.62834	16.81723	18.54904	17.67295	19.40088	19.69889	19.30947
alpha_rarefaction_136_7.txt	136	7	17.99934	19.90647	18.12583	19.85156	16.66445	18.26964	18.52587	18.2155	16.43391	17.5404	17.88671	16.9571	19.09867	18.13057	16.17172	18.98408	16.63365	20.09464	19.57794	20.20292	18.60467	17.73562	19.71477	19.32435	20.15728	19.14018	17.02214	17.71001	18.10318	19.38283
alpha_rarefaction_136_8.txt	136	8	18.05231	19.61121	17.69749	20.53287	17.67854	18.23055	17.69684	17.36903	19.0781	17.81925	19.06067	18.07221	18.28111	18.27312	17.68164	17.57713	19.23489	20.48661	18.67263	21.27586	19.08667	19.04387	19.57375	18.53119	17.04361	18.40796	18.11136	20.03045	20.27009	18.46983
alpha_rarefaction_136_9.txt	136	9	21.80505	19.08029	18.00122	18.0878	17.6318	18.86206	19.70681	17.627	17.89377	17.42877	17.0569	17.20269	18.43635	18.54018	17.37794	18.60646	19.43163	18.92231	19.39521	20.93393	18.90025	18.43893	21.21937	18.58092	18.50037	20.48777	17.44446	18.42819	18.61063	20.19709
alpha_rarefaction_199_0.txt	199	0	24.23679	24.38659	24.19664	22.89971	22.87215	23.05931	25.60158	23.82232	23.42625	18.18856	24.00445	22.50883	20.22141	22.72867	21.63411	24.20259	21.42571	21.09188	25.63319	22.42359	23.59688	21.37875	24.2822	21.59819	22.58717	21.34906	21.56095	23.71834	23.69303	22.52344
alpha_rarefaction_199_1.txt	199	1	22.79326	24.64823	23.71028	24.32986	20.48472	23.74221	23.50837	23.27706	20.5916	20.03457	22.59591	20.43413	20.29435	22.54101	22.95339	23.76223	22.07667	21.44167	23.61753	24.43821	23.11962	21.01908	24.87658	22.66387	21.35977	26.03768	23.81647	23.60534	24.81457	23.71603
alpha_rarefaction_199_2.txt	199	2	23.2765	24.21761	21.90883	24.96864	23.92516	23.08342	22.7716	22.75897	22.05579	20.36035	22.97686	21.19116	22.23451	23.00591	22.55347	23.00223	22.62653	23.55866	21.97992	25.0127	22.02989	22.36233	23.33534	23.68899	21.54922	25.33953	24.06474	24.80185	23.38157	23.51396
alpha_rarefaction_199_3.txt	199	3	22.81457	25.66117	21.78987	23.86906	20.40967	20.91887	21.91305	21.83833	23.1837	19.0623	22.38632	23.09858	24.05382	22.95339	21.64043	23.10927	23.08208	24.64853	22.47525	26.14731	24.47886	22.38234	24.6222	19.97775	21.56754	23.26026	22.43077	22.87486	24.08311	23.3099
alpha_rarefaction_199_4.txt	199	4	22.35287	26.55997	23.85561	23.69651	20.14235	24.60164	23.04075	22.19436	22.44634	18.93626	22.92841	20.9676	23.88686	21.84629	22.29459	21.99517	22.64385	23.61375	24.16168	21.92069	25.55068	23.43894	22.22323	22.96458	23.02371	23.06384	23.11274	23.16587	24.25194	22.8584
alpha_rarefaction_199_5.txt	199	5	23.30801	23.02028	23.27089	25.47826	19.43249	24.21738	24.37973	21.77457	20.60244	18.38226	24.18609	21.76305	23.30116	20.73533	21.04044	22.02256	22.82189	21.48991	24.8392	25.71785	23.61341	21.11643	25.35509	23.53865	22.36938	23.72123	23.6727	24.05026	23.04449	22.35095
alpha_rarefaction_199_6.txt	199	6	24.06065	23.33162	23.0555	23.22956	20.09347	25.11394	24.26745	20.55003	22.00569	20.9268	23.54461	23.05961	21.53372	24.75629	24.18574	22.81875	22.32563	22.23479	23.08325	22.25448	21.17568	22.1867	24.29517	22.17213	23.7993	21.81841	20.30563	23.52418	23.89826	21.68488
alpha_rarefaction_199_7.txt	199	7	23.04294	21.51775	24.39784	22.429	20.77101	22.91616	24.76156	22.82041	22.17026	18.7302	22.49296	22.50603	24.20982	24.16251	23.87747	22.70239	22.49736	23.62714	23.44251	24.18094	24.24321	21.09535	23.46989	22.62041	23.41922	24.23487	21.54534	22.56252	23.1099	22.29759
alpha_rarefaction_199_8.txt	199	8	24.82337	23.78162	22.68516	24.46162	19.57257	19.38013	24.98351	20.88151	21.09174	20.18102	22.49543	24.58351	24.87019	22.93084	22.55916	21.79185	23.52929	23.70245	22.74736	23.54861	24.86274	23.50735	23.69018	24.388	21.06467	25.55295	24.13287	20.07246	24.10765	21.91366
alpha_rarefaction_199_9.txt	199	9	22.90533	23.38888	22.97321	23.19219	21.38386	22.80549	24.24412	22.6516	20.0688	19.90665	24.05253	20.72987	22.88544	23.76065	21.72025	23.81442	21.89658	24.31869	22.66323	23.89472	21.48047	23.47185	25.54495	20.85492	21.60159	24.61276	22.21322	22.70941	24.34269	22.99975
alpha_rarefaction_262_0.txt	262	0	27.24396	28.27614	26.40274	28.17398	24.36138	27.07275	26.90147	24.05898	24.80606	23.07875	26.51226	22.70726	27.89762	27.49829	25.40391	26.74916	23.97918	28.91744	25.78699	27.37819	26.42373	27.33339	27.45024	26.93737	26.19717	30.89826	25.58859	27.20323	27.1146	26.70674
alpha_rarefaction_262_1.txt	262	1	28.34355	29.3461	24.48414	28.16008	24.75072	26.94263	27.74071	25.58559	26.38122	23.75368	25.65793	26.63014	24.9252	24.83821	26.10467	24.40512	26.09217	27.3886	26.99486	26.51347	26.34348	24.99219	29.567	25.29828	26.7503	27.24524	29.05296	25.86047	26.30691	27.95052
alpha_rarefaction_262_2.txt	262	2	27.54608	26.73337	25.83115	26.99104	25.52065	28.45056	28.25372	25.04689	24.77338	21.55835	26.55879	24.68696	25.57085	25.39515	27.65926	27.41372	27.83606	26.83777	28.06217	28.3061	27.90811	24.72249	27.84257	25.12844	24.99188	26.15775	27.31316	26.89146	27.20365	26.17794
alpha_rarefaction_262_3.txt	262	3	26.82391	27.1988	27.4211	26.98654	24.19792	27.85166	28.76416	24.64527	26.41417	24.66599	26.83071	23.78246	25.42602	26.6213	23.59738	24.88786	25.68681	26.85489	26.6042	29.60175	26.49705	26.65386	28.40428	26.91649	26.11929	26.40181	26.40103	25.91272	25.80178	25.2349
alpha_rarefaction_262_4.txt	262	4	27.04466	27.54146	27.46674	26.6808	24.2617	28.25683	24.06247	25.37506	25.92963	22.36589	26.58659	23.24912	29.59682	27.43293	24.74457	28.31861	27.10372	27.59718	25.70357	28.43817	27.65291	25.25895	26.81082	25.96455	25.82447	27.35759	28.84714	27.75458	26.22652	26.70906
alpha_rarefaction_262_5.txt	262	5	27.42685	28.48113	27.22291	28.90147	22.74191	28.0554	26.82524	26.48943	26.3744	23.22182	28.43288	25.02606	26.09685	26.68109	25.81008	28.55204	26.31664	27.26075	27.37529	28.80383	25.78593	25.32553	27.20301	28.70872	24.97276	29.36784	27.54993	26.64866	27.01482	27.25657
alpha_rarefaction_262_6.txt	262	6	27.03564	28.41096	26.30136	27.74166	25.22859	27.18416	27.94732	24.74587	25.53832	24.6824	27.12637	24.96812	27.61077	26.52217	26.94991	27.34713	26.50235	25.66198	25.41898	28.88118	27.39298	26.32983	28.43791	25.22175	24.47813	25.97267	24.3873	28.20301	29.22135	24.87916
alpha_rarefaction_262_7.txt	262	7	26.27838	27.81218	27.72043	26.99135	24.60513	27.20561	27.17979	27.14544	26.99742	23.48025	27.77417	23.66505	26.69531	25.87476	26.02579	27.20698	26.50421	28.19625	26.81714	29.28454	27.01121	25.53639	29.04434	28.67807	26.66517	28.21299	24.57429	25.29195	26.09693	25.99126
alpha_rarefaction_262_8.txt	262	8	28.3321	29.03526	26.80416	27.56882	23.71098	28.43716	28.6485	25.4208	25.42705	24.62768	27.57664	25.11062	25.50886	27.2249	26.21972	25.77125	27.30393	27.90035	27.88497	28.08689	25.70318	24.15602	26.44414	26.71002	27.84626	25.27527	24.48286	27.16966	29.16049	27.20791
alpha_rarefaction_262_9.txt	262	9	27.67392	27.79426	28.40497	25.57655	25.76942	26.69726	27.19344	24.41028	27.16815	24.79558	26.07004	23.98534	26.41943	27.46807	25.24014	27.65479	27.47385	27.08324	25.41702	30.18958	27.17436	25.17954	28.52668	27.28958	24.41011	29.03704	25.1704	25.45979	26.57338	26.60149
alpha_rarefaction_325_0.txt	325	0	30.2802	30.94483	27.38936	29.49148	27.36985	28.89668	33.97711	28.08218	27.91762	23.88554	30.85938	27.35998	29.85838	29.08302	29.14492	31.35209	28.98234	31.57246	30.15215	30.09808	30.96574	27.92922	30.75786	29.29022	30.51589	32.41721	29.28471	27.90713	29.24025	28.13916
alpha_rarefaction_325_1.txt	325	1	32.88932	29.18637	31.47864	29.95728	27.67789	28.97663	29.12519	28.99286	29.19413	26.92373	28.51118	27.56318	30.98351	32.31566	28.23489	29.10564	28.14994	29.60472	30.44699	32.84822	29.14563	29.25034	29.28168	30.25509	31.1392	34.30008	28.91477	31.21706	29.04674	27.67648
alpha_rarefaction_325_2.txt	325	2	32.88032	32.71074	29.89771	31.00922	27.56997	29.79677	29.86728	31.05196	30.21673	25.59122	30.38861	27.60891	30.54345	28.18165	27.89376	29.21848	27.87271	31.46179	29.68905	30.83528	29.29807	28.13808	30.55448	29.48267	31.17614	30.29703	27.79988	31.88722	31.44419	29.4875
alpha_rarefaction_325_3.txt	325	3	30.78079	31.13127	29.12235	31.95301	27.41387	29.73801	31.38114	28.97328	30.30334	24.95316	28.62898	29.12146	31.17101	29.65161	29.4054	30.18398	29.66077	31.08446	30.66888	31.02179	32.10251	28.27747	28.728	28.09582	28.3926	31.51287	29.62751	28.85198	30.82404	28.55711
alpha_rarefaction_325_4.txt	325	4	29.41574	32.07394	29.00288	31.13141	27.58394	31.35238	31.7177	29.94962	27.61438	24.28239	29.24231	29.03597	29.88138	30.34846	30.77385	29.47944	29.29624	29.23717	30.1604	31.38524	31.5042	27.29383	33.4758	29.58544	29.29899	30.13948	30.02978	30.16336	31.37494	28.51517
alpha_rarefaction_325_5.txt	325	5	28.97639	30.03966	31.67085	29.91073	28.51643	30.52582	31.96293	30.34181	28.87879	24.75387	30.83317	27.82072	30.82331	29.44946	29.00423	30.29648	28.62797	28.45084	29.54128	32.25137	32.14838	28.11003	31.78979	29.16074	28.48376	31.18541	26.66665	33.1809	31.42364	28.8384
alpha_rarefaction_325_6.txt	325	6	28.14156	31.89188	27.90747	31.19286	28.38378	28.81055	31.59829	30.00653	30.15241	25.10621	29.38214	27.63328	28.93542	31.54506	28.80358	30.00962	29.73325	29.59893	29.44995	31.17974	30.82927	28.80435	32.11547	30.32069	28.56873	30.49808	27.28134	32.55679	30.73633	29.19208
