	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_10_0.txt	10	0	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	2.84643934467	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489
alpha_rarefaction_10_1.txt	10	1	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	2.84643934467	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_2.txt	10	2	3.32192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_3.txt	10	3	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_4.txt	10	4	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_5.txt	10	5	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_6.txt	10	6	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_7.txt	10	7	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_8.txt	10	8	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	2.84643934467	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489
alpha_rarefaction_10_9.txt	10	9	3.12192809489	2.84643934467	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_20_0.txt	20	0	4.32192809489	4.22192809489	4.02192809489	4.12192809489	4.32192809489	4.22192809489	4.22192809489	4.32192809489	4.22192809489	4.12192809489	4.08418371978	4.12192809489	4.22192809489	4.08418371978	4.32192809489	4.32192809489	4.32192809489	4.22192809489	4.22192809489	4.32192809489	4.32192809489	4.32192809489	4.32192809489	4.32192809489	4.12192809489	4.22192809489	3.92192809489	4.22192809489	4.32192809489	4.22192809489
