	515rcbc9	515rcbc8	515rcbc19	515rcbc18	515rcbc11	515rcbc10	515rcbc35	515rcbc12	515rcbc15	515rcbc32	515rcbc17	515rcbc16	515rcbc37	515rcbc36	515rcbc13	515rcbc34	515rcbc33	515rcbc14	515rcbc20	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31
515rcbc9	0.0	0.27242690625	0.22053075	0.23444209375	0.270488265625	0.232244125	0.274976875	0.3780881875	0.283370328125	0.282160984375	0.211270953125	0.234465625	0.224734765625	0.462509953125	0.2693849375	0.220828265625	0.2620293125	0.284965640625	0.263515421875	0.29335546875	0.231410140625	0.21720078125	0.21402934375	0.319570484375	0.214793125	0.25384940625	0.1976584375	0.224803875	0.221592015625	0.268260359375
515rcbc8	0.27242690625	0.0	0.23238340625	0.2577413125	0.231662765625	0.23854690625	0.319902625	0.35173975	0.318096734375	0.213772765625	0.279010171875	0.23648034375	0.242264359375	0.424138671875	0.26898509375	0.282104421875	0.27465603125	0.295624734375	0.249303328125	0.2961129375	0.276691734375	0.30129790625	0.30982175	0.263866578125	0.31492246875	0.263601875	0.30466184375	0.27045759375	0.303294140625	0.227518828125
515rcbc19	0.22053075	0.23238340625	0.0	0.21623109375	0.201060421875	0.1827391875	0.28938253125	0.31086040625	0.289725078125	0.210317765625	0.231281234375	0.2010906875	0.186147078125	0.408739390625	0.2195010625	0.243780890625	0.229890875	0.260460640625	0.200994203125	0.23713553125	0.215114546875	0.230437625	0.25503325	0.289456546875	0.2793004375	0.20401715625	0.23057059375	0.20834103125	0.265417171875	0.177377390625
515rcbc18	0.23444209375	0.2577413125	0.21623109375	0.0	0.272391109375	0.18880146875	0.2487330625	0.36341453125	0.212321421875	0.253687328125	0.185501546875	0.2558403125	0.217496796875	0.465476203125	0.21874134375	0.191346671875	0.2264104375	0.252335203125	0.225348484375	0.19924496875	0.206253046875	0.27422859375	0.20808659375	0.305805203125	0.20093796875	0.23627225	0.2403519375	0.19589915625	0.217929765625	0.257869828125
515rcbc11	0.270488265625	0.231662765625	0.201060421875	0.272391109375	0.0	0.228873640625	0.324800296875	0.315410171875	0.33267725	0.2048783125	0.27303171875	0.188939671875	0.21688240625	0.409952625	0.253498546875	0.2866193125	0.247490609375	0.2479110625	0.23165934375	0.294152578125	0.23779759375	0.258693234375	0.298334484375	0.261761625	0.302457015625	0.247016015625	0.255319171875	0.257396046875	0.31125434375	0.17512053125
515rcbc10	0.232244125	0.23854690625	0.1827391875	0.18880146875	0.228873640625	0.0	0.2663945625	0.3257906875	0.261790984375	0.214170578125	0.207952265625	0.22285146875	0.210949046875	0.441560078125	0.21027665625	0.220556953125	0.21637971875	0.248353515625	0.221537078125	0.23255859375	0.201801703125	0.24487709375	0.24274721875	0.303309484375	0.24152340625	0.2122504375	0.22250015625	0.21285678125	0.226222546875	0.224908828125
515rcbc35	0.274976875	0.319902625	0.28938253125	0.2487330625	0.324800296875	0.2663945625	0.0	0.42204815625	0.247759890625	0.311859359375	0.265949578125	0.31525778125	0.259856140625	0.502349859375	0.28752290625	0.237882921875	0.31703353125	0.341614578125	0.300694734375	0.29214584375	0.295024859375	0.32619721875	0.2836713125	0.389217859375	0.251766875	0.3051955625	0.3092101875	0.2540936875	0.222864765625	0.317495640625
515rcbc12	0.3780881875	0.35173975	0.31086040625	0.36341453125	0.315410171875	0.3257906875	0.42204815625	0.0	0.418578109375	0.340036734375	0.402029359375	0.34829334375	0.305813359375	0.397150640625	0.2885464375	0.364967765625	0.39449421875	0.358470640625	0.273790765625	0.35618259375	0.365705234375	0.28767384375	0.4082639375	0.385393265625	0.4149619375	0.2932480625	0.37535240625	0.33284884375	0.405123984375	0.314009703125
515rcbc15	0.283370328125	0.318096734375	0.289725078125	0.212321421875	0.33267725	0.261790984375	0.247759890625	0.418578109375	0.0	0.3242625625	0.200659	0.312187828125	0.260771625	0.5028595	0.252965203125	0.196157875	0.275238578125	0.309023375	0.27060853125	0.265149296875	0.24531409375	0.329814859375	0.220518203125	0.37927990625	0.236090703125	0.260884609375	0.275450015625	0.232850265625	0.2374679375	0.32212884375
515rcbc32	0.282160984375	0.213772765625	0.210317765625	0.253687328125	0.2048783125	0.214170578125	0.311859359375	0.340036734375	0.3242625625	0.0	0.276384375	0.209613640625	0.2504385	0.4473505625	0.262319421875	0.294036125	0.226546578125	0.2673065625	0.2682859375	0.251743203125	0.2299428125	0.287712328125	0.297219390625	0.24619740625	0.307376421875	0.284199703125	0.257632328125	0.278380265625	0.29261153125	0.1969036875
