	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_73_9.txt	73	9	485.0	614.0	256.5	301.142857143	193.125	188.272727273	279.875	301.142857143	188.5	144.111111111	301.142857143	248.428571429	572.0	417.75	177.75	183.333333333	301.142857143	445.2	572.0	445.2	555.0	280.0	622.75	407.2	491.75	212.5	522.5	172.0	476.25	275.142857143
alpha_rarefaction_136_0.txt	136	0	327.058823529	530.0	471.153846154	855.75	321.875	517.25	454.5	461.5	399.461538462	303.272727273	582.5	615.666666667	771.625	432.333333333	435.272727273	774.142857143	449.25	462.769230769	410.666666667	641.3	547.0	308.055555556	812.666666667	415.75	736.333333333	526.071428571	722.666666667	322.875	461.4	379.375
alpha_rarefaction_136_1.txt	136	1	652.6	465.5	349.230769231	652.6	416.75	784.5	351.230769231	598.1	487.8	561.0	408.0	455.833333333	513.230769231	338.352941176	408.0	491.0	440.076923077	418.909090909	447.230769231	327.526315789	667.125	663.0	305.894736842	344.588235294	446.230769231	488.153846154	455.833333333	223.333333333	554.5	488.8
alpha_rarefaction_136_2.txt	136	2	476.714285714	410.666666667	439.076923077	501.0	364.0	719.375	515.5	619.0	515.909090909	352.090909091	359.3125	481.083333333	324.4	926.142857143	477.615384615	587.3	423.0	431.333333333	812.625	988.875	439.75	314.6875	564.333333333	755.875	556.5	564.333333333	433.272727273	430.928571429	841.25	614.363636364
alpha_rarefaction_136_3.txt	136	3	477.714285714	365.9375	627.333333333	913.0	539.111111111	287.882352941	475.25	438.714285714	300.368421053	499.0	492.0	586.3	446.230769231	491.0	375.0	581.333333333	800.333333333	423.0	455.461538462	504.461538462	416.571428571	616.875	914.0	587.3	373.214285714	476.714285714	336.4	355.461538462	355.4	379.375
alpha_rarefaction_136_4.txt	136	4	387.714285714	474.25	321.071428571	503.461538462	489.545454545	328.125	556.5	410.666666667	536.8	289.615384615	959.857142857	301.5	607.0	1409.2	546.25	853.75	762.0	680.0	410.0	554.75	604.625	414.75	462.769230769	517.5	328.058823529	800.333333333	432.272727273	424.0	602.5	340.352941176
alpha_rarefaction_136_5.txt	136	5	410.666666667	469.571428571	820.142857143	525.545454545	416.571428571	864.428571429	527.5	354.0	834.428571429	302.769230769	546.25	463.5	492.0	478.272727273	488.545454545	299.5	574.090909091	386.583333333	525.545454545	417.0	357.0	355.461538462	439.4	879.142857143	380.428571429	620.0	494.6	363.2	311.055555556	405.0
alpha_rarefaction_136_6.txt	136	6	774.0	492.0	408.230769231	513.230769231	339.352941176	383.583333333	439.9375	329.125	382.0	245.928571429	396.2	369.625	853.166666667	499.0	587.3	373.214285714	515.909090909	462.769230769	522.076923077	522.076923077	639.111111111	230.142857143	495.769230769	414.571428571	337.4	438.714285714	495.909090909	567.0	664.0	525.545454545
alpha_rarefaction_136_7.txt	136	7	525.545454545	584.272727273	455.461538462	706.125	468.5	379.615384615	488.153846154	433.333333333	462.0	494.6	452.0	311.5	563.0	375.0	327.125	723.666666667	416.076923077	731.75	349.666666667	493.214285714	772.142857143	425.545454545	477.714285714	574.090909091	630.1	604.909090909	661.428571429	385.1875	526.545454545	483.083333333
alpha_rarefaction_136_8.txt	136	8	406.0	409.666666667	546.1	431.866666667	395.071428571	449.25	322.875	424.214285714	326.555555556	338.214285714	545.090909091	498.0	381.428571429	618.0	398.461538462	508.363636364	554.75	820.142857143	498.909090909	661.75	508.083333333	382.0	564.333333333	666.125	360.3125	631.1	460.769230769	663.0	870.375	426.375
